Error,Delta Error,LMS,RMS
-5,-5,4.235981406305913,4.98883235449008
-32,-27,0.7578147636978443,5.527413234613606
12,44,4.133117023268879,0.874874738637314
7,-5,4.9437784551581725,4.107020844094966
-14,-21,1.943719162581844,5.41085027647446
11,25,4.045112184367176,0.8535199865735323
-13,-24,2.0537905009077955,5.401165060313996
-2,11,4.147918754478916,3.4006878759034067
-7,-5,3.9556823202033637,4.80319458259342
-5,2,4.363623293176459,4.638943996781239
-8,-3,3.861567310412013,4.712586696124596
-4,4,4.424007658375581,4.424007658375581
-7,-3,4.012357087891878,4.80319458259342
-7,0,4.125416882258042,4.803194582591276
-7,0,4.125416882258042,4.803194582591276
-7,0,4.125416882258042,4.803194582591276
-8,-1,3.9188968123302153,4.712586696124596
-7,1,4.083506100907266,4.632773516178777
-7,0,4.125416882258042,4.803194582591276
-8,-1,3.9188968123302153,4.712586696124596
-7,1,4.083506100907266,4.632773516178777
-7,0,4.125416882258042,4.803194582591276
-8,-1,3.9188968123302153,4.712586696124596
-7,1,4.083506100907266,4.632773516178777
-7,0,4.125416882258042,4.803194582591276
-9,-2,3.72967181059945,4.621978738203791
-5,4,4.274098747164681,4.357378488617676
-9,-4,3.690878912305939,4.621978738203791
-7,2,4.045527849868914,4.481022785954278
-10,-3,3.553681548485619,4.530320817475039
-6,4,4.127564912130634,4.289558412296054
-11,-5,3.3798065008174105,4.436537089420617
-6,5,4.095232078696516,4.172656355189308
-10,-4,3.5409526265532807,4.530320817475039
-8,2,3.8882846625476506,4.401095368201078
-10,-2,3.567797901151906,4.530320817475039
-8,2,3.8882846625476506,4.401095368201078
-10,-2,3.567797901151906,4.530320817475039
-8,2,3.8882846625476506,4.401095368201078
-8,0,3.9526055509552176,4.712586696122525
-7,1,4.083506100907266,4.632773516178777
-8,-1,3.9188968123302153,4.712586696124596
-7,1,4.083506100907266,4.632773516178777
-7,0,4.125416882258042,4.803194582591276
-8,-1,3.9188968123302153,4.712586696124596
-6,2,4.203303431011925,4.560043403069504
-8,-2,3.888284662547651,4.712586696124596
-6,2,4.203303431011925,4.560043403069504
-9,-3,3.709250742250883,4.621978738203791
-7,2,4.045527849868914,4.481022785954278
-9,-2,3.72967181059945,4.621978738203791
-8,1,3.9188968123302153,4.547903288647175
-9,-1,3.753118929120302,4.621978738203791
-7,2,4.045527849868914,4.481022785954278
-8,-1,3.9188968123302153,4.712586696124596
-7,1,4.083506100907266,4.632773516178777
-8,-1,3.9188968123302153,4.712586696124596
-7,1,4.083506100907266,4.632773516178777
-7,0,4.125416882258042,4.803194582591276
-7,0,4.125416882258042,4.803194582591276
-7,0,4.125416882258042,4.803194582591276
-7,0,4.125416882258042,4.803194582591276
-8,-1,3.9188968123302153,4.712586696124596
-6,2,4.203303431011925,4.560043403069504
-8,-2,3.888284662547651,4.712586696124596
-7,1,4.083506100907266,4.632773516178777
-8,-1,3.9188968123302153,4.712586696124596
-8,0,3.9526055509552176,4.712586696122525
-7,1,4.083506100907266,4.632773516178777
-8,-1,3.9188968123302153,4.712586696124596
-7,1,4.083506100907266,4.632773516178777
-7,0,4.125416882258042,4.803194582591276
-8,-1,3.9188968123302153,4.712586696124596
-5,3,4.316351730176136,4.491055473695655
-9,-4,3.690878912305939,4.621978738203791
-7,2,4.045527849868914,4.481022785954278
-9,-2,3.72967181059945,4.621978738203791
-8,1,3.9188968123302153,4.547903288647175
-8,0,3.9526055509552176,4.712586696122525
-7,1,4.083506100907266,4.632773516178777
-8,-1,3.9188968123302153,4.712586696124596
-7,1,4.083506100907266,4.632773516178777
-8,-1,3.9188968123302153,4.712586696124596
-6,2,4.203303431011925,4.560043403069504
-8,-2,3.888284662547651,4.712586696124596
-6,2,4.203303431011925,4.560043403069504
-9,-3,3.709250742250883,4.621978738203791
-7,2,4.045527849868914,4.481022785954278
-9,-2,3.72967181059945,4.621978738203791
-7,2,4.045527849868914,4.481022785954278
-10,-3,3.553681548485619,4.530320817475039
-7,3,4.012357087891878,4.34413096089573
-9,-2,3.72967181059945,4.621978738203791
-7,2,4.045527849868914,4.481022785954278
-9,-2,3.72967181059945,4.621978738203791
-7,2,4.045527849868914,4.481022785954278
-9,-2,3.72967181059945,4.621978738203791
-6,3,4.163347139369218,4.41808858610525
-9,-3,3.709250742250883,4.621978738203791
-6,3,4.163347139369218,4.41808858610525
-9,-3,3.709250742250883,4.621978738203791
-7,2,4.045527849868914,4.481022785954278
-10,-3,3.553681548485619,4.530320817475039
-6,4,4.127564912130634,4.289558412296054
-10,-4,3.5409526265532807,4.530320817475039
-7,3,4.012357087891878,4.34413096089573
-9,-2,3.72967181059945,4.621978738203791
-8,1,3.9188968123302153,4.547903288647175
-8,0,3.9526055509552176,4.712586696122525
-9,-1,3.753118929120302,4.621978738203791
-7,2,4.045527849868914,4.481022785954278
-8,-1,3.9188968123302153,4.712586696124596
-7,1,4.083506100907266,4.632773516178777
-8,-1,3.9188968123302153,4.712586696124596
-6,2,4.203303431011925,4.560043403069504
-9,-3,3.709250742250883,4.621978738203791
-6,3,4.163347139369218,4.41808858610525
-9,-3,3.709250742250883,4.621978738203791
-7,2,4.045527849868914,4.481022785954278
-9,-2,3.72967181059945,4.621978738203791
-8,1,3.9188968123302153,4.547903288647175
-8,0,3.9526055509552176,4.712586696122525
-7,1,4.083506100907266,4.632773516178777
-8,-1,3.9188968123302153,4.712586696124596
-7,1,4.083506100907266,4.632773516178777
-8,-1,3.9188968123302153,4.712586696124596
-6,2,4.203303431011925,4.560043403069504
-8,-2,3.888284662547651,4.712586696124596
-7,1,4.083506100907266,4.632773516178777
-8,-1,3.9188968123302153,4.712586696124596
-8,0,3.9526055509552176,4.712586696122525
-7,1,4.083506100907266,4.632773516178777
-8,-1,3.9188968123302153,4.712586696124596
-8,0,3.9526055509552176,4.712586696122525
-7,1,4.083506100907266,4.632773516178777
-8,-1,3.9188968123302153,4.712586696124596
-6,2,4.203303431011925,4.560043403069504
-8,-2,3.888284662547651,4.712586696124596
-6,2,4.203303431011925,4.560043403069504
-9,-3,3.709250742250883,4.621978738203791
-6,3,4.163347139369218,4.41808858610525
-10,-4,3.5409526265532807,4.530320817475039
-6,4,4.127564912130634,4.289558412296054
-10,-4,3.5409526265532807,4.530320817475039
-7,3,4.012357087891878,4.34413096089573
-10,-3,3.553681548485619,4.530320817475039
-8,2,3.8882846625476506,4.401095368201078
-9,-1,3.753118929120302,4.621978738203791
-9,0,3.7788738032642635,4.621978738201781
-7,2,4.045527849868914,4.481022785954278
-8,-1,3.9188968123302153,4.712586696124596
-7,1,4.083506100907266,4.632773516178777
-7,0,4.125416882258042,4.803194582591276
-7,0,4.125416882258042,4.803194582591276
-7,0,4.125416882258042,4.803194582591276
-7,0,4.125416882258042,4.803194582591276
-7,0,4.125416882258042,4.803194582591276
-7,0,4.125416882258042,4.803194582591276
-7,0,4.125416882258042,4.803194582591276
-7,0,4.125416882258042,4.803194582591276
-7,0,4.125416882258042,4.803194582591276
-7,0,4.125416882258042,4.803194582591276
-7,0,4.125416882258042,4.803194582591276
-7,0,4.125416882258042,4.803194582591276
-6,1,4.249059105267057,4.717626380141487
-8,-2,3.888284662547651,4.712586696124596
-6,2,4.203303431011925,4.560043403069504
-8,-2,3.888284662547651,4.712586696124596
-7,1,4.083506100907266,4.632773516178777
-9,-2,3.72967181059945,4.621978738203791
-7,2,4.045527849868914,4.481022785954278
-9,-2,3.72967181059945,4.621978738203791
-8,1,3.9188968123302153,4.547903288647175
-8,0,3.9526055509552176,4.712586696122525
-8,0,3.9526055509552176,4.712586696122525
